internal/gitops	TestCloneAndResolve	linux
internal/gitops	TestCloneAndResolve	windows
internal/gitops	TestCloneRefusesExistingDestination	darwin
internal/gitops	TestCloneRefusesExistingDestination	linux
internal/gitops	TestCloneRefusesExistingDestination	windows
internal/gitops	TestCloneRefusesSuspiciousURLs	darwin
internal/gitops	TestCloneRefusesSuspiciousURLs	linux
internal/gitops	TestCloneRefusesSuspiciousURLs	windows
internal/gitops	TestFetchAndSubmodules	darwin
internal/gitops	TestFetchAndSubmodules	linux
internal/gitops	TestFetchAndSubmodules	windows
internal/hashing	TestByteLayout	darwin
internal/hashing	TestByteLayout	linux
internal/hashing	TestByteLayout	windows
internal/hashing	TestCrossCheckTree	darwin
internal/hashing	TestCrossCheckTree	linux
internal/hashing	TestCrossCheckTree	windows
internal/hashing	TestEmptyTree	darwin
internal/hashing	TestEmptyTree	linux
internal/hashing	TestEmptyTree	windows
internal/hashing	TestMarkerExcluded	darwin
internal/hashing	TestMarkerExcluded	linux
internal/hashing	TestMarkerExcluded	windows
internal/hashing	TestNormalize	darwin
internal/hashing	TestNormalize	linux
internal/hashing	TestNormalize	windows
internal/hashing	TestOrderIndependence	darwin
internal/hashing	TestOrderIndependence	linux
internal/hashing	TestOrderIndependence	windows
internal/identifiers	TestPortablePath	darwin
internal/identifiers	TestPortablePath	linux
internal/identifiers	TestPortablePath	windows
internal/identifiers	TestValid	darwin
internal/identifiers	TestValid	linux
internal/identifiers	TestValid	windows
internal/identifiers	TestValidLocale	darwin
internal/identifiers	TestValidLocale	linux
internal/identifiers	TestValidLocale	windows
internal/identifiers	TestValidSourcePath	darwin
internal/identifiers	TestValidSourcePath	linux
internal/identifiers	TestValidSourcePath	windows
internal/identity	TestAllowed	darwin
internal/identity	TestAllowed	linux
internal/identity	TestAllowed	windows
internal/identity	TestCanonical	darwin
internal/identity	TestCanonical	linux
internal/identity	TestCanonical	windows
internal/identity	TestMatchesPrefix	darwin
internal/identity	TestMatchesPrefix	linux
internal/identity	TestMatchesPrefix	windows
internal/identity	TestParseRejectsAmbiguousNetworkForms	darwin
internal/identity	TestParseRejectsAmbiguousNetworkForms	linux
internal/identity	TestParseRejectsAmbiguousNetworkForms	windows
internal/identity	TestValidCanonical	darwin
internal/identity	TestValidCanonical	linux
internal/identity	TestValidCanonical	windows
internal/install	TestAuditGateBlocksUndeclaredNetwork	darwin
internal/install	TestAuditGateBlocksUndeclaredNetwork	linux
internal/install	TestAuditGateBlocksUndeclaredNetwork	windows
internal/install	TestDryRunTouchesNothing	darwin
internal/install	TestDryRunTouchesNothing	linux
internal/install	TestDryRunTouchesNothing	windows
internal/install	TestEndToEndInstall	darwin
internal/install	TestEndToEndInstall	linux
internal/install	TestEndToEndInstall	windows
internal/install	TestGitignoreGateSkips	darwin
internal/install	TestGitignoreGateSkips	linux
internal/install	TestGitignoreGateSkips	windows
internal/install	TestGlobalInstall	darwin
internal/install	TestGlobalInstall	linux
internal/install	TestGlobalInstall	windows
internal/install	TestGlobalInstallUsesManifestLocaleAndAuditGate	darwin
internal/install	TestGlobalInstallUsesManifestLocaleAndAuditGate	linux
internal/install	TestGlobalInstallUsesManifestLocaleAndAuditGate	windows
internal/install	TestGlobalStrictTagsDetectMovedTag	darwin
internal/install	TestGlobalStrictTagsDetectMovedTag	linux
internal/install	TestGlobalStrictTagsDetectMovedTag	windows
internal/install	TestHybridShadowedByProjectDeclaration	darwin
internal/install	TestHybridShadowedByProjectDeclaration	linux
internal/install	TestHybridShadowedByProjectDeclaration	windows
internal/install	TestHybridSkillActivatesWithoutTouchingProjectStore	darwin
internal/install	TestHybridSkillActivatesWithoutTouchingProjectStore	linux
internal/install	TestHybridSkillActivatesWithoutTouchingProjectStore	windows
internal/install	TestMcpRequirementGatesInstall	darwin
internal/install	TestMcpRequirementGatesInstall	linux
internal/install	TestMcpRequirementGatesInstall	windows
internal/install	TestMissingSystemCommandFails	darwin
internal/install	TestMissingSystemCommandFails	linux
internal/install	TestMissingSystemCommandFails	windows
internal/install	TestMovedTagWarningAndStrict	darwin
internal/install	TestMovedTagWarningAndStrict	linux
internal/install	TestMovedTagWarningAndStrict	windows
internal/install	TestRegistryAttestationLandsInMarker	darwin
internal/install	TestRegistryAttestationLandsInMarker	linux
internal/install	TestRegistryAttestationLandsInMarker	windows
internal/install	TestRegistryRevocationDeniesInstall	darwin
internal/install	TestRegistryRevocationDeniesInstall	linux
internal/install	TestRegistryRevocationDeniesInstall	windows
internal/install	TestRemovedSkillCleanedUp	darwin
internal/install	TestRemovedSkillCleanedUp	linux
internal/install	TestRemovedSkillCleanedUp	windows
internal/install	TestRuntimeOnlyProviderGetsMarkerNoAdapter	darwin
internal/install	TestRuntimeOnlyProviderGetsMarkerNoAdapter	linux
internal/install	TestRuntimeOnlyProviderGetsMarkerNoAdapter	windows
internal/install	TestRuntimeOnlyProviderStillRequiresSkillMd	darwin
internal/install	TestRuntimeOnlyProviderStillRequiresSkillMd	linux
internal/install	TestRuntimeOnlyProviderStillRequiresSkillMd	windows
internal/install	TestSecondInstallIsUpToDate	darwin
internal/install	TestSecondInstallIsUpToDate	linux
internal/install	TestSecondInstallIsUpToDate	windows
internal/install	TestStrictRegistryPolicyFailsUnknown	darwin
internal/install	TestStrictRegistryPolicyFailsUnknown	linux
internal/install	TestStrictRegistryPolicyFailsUnknown	windows
internal/install	TestTamperTriggersReinstall	darwin
internal/install	TestTamperTriggersReinstall	linux
internal/install	TestTamperTriggersReinstall	windows
