pass	internal/godriver	TestFingerprintRejectsEscapingAndAbsoluteLinks/escape	
pass	internal/godriver	TestFingerprintRejectsFileRecordResolvingToADirectory	
pass	internal/godriver	TestFingerprintReportsUnreadableDirectoryIdentically	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnErrorPrecedence	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnErrorPrecedence/deeper_violation_reached_before_a_later_sibling	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnErrorPrecedence/shallow_violation_outranks_a_deeper_one	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnErrorPrecedence/sibling_violations_in_one_directory	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnErrorPrecedence/violation_inside_a_subtree_that_sorts_before_its_siblings	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnFailClosedTrees	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnFailClosedTrees/absolute_link	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnFailClosedTrees/dangling_link	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnFailClosedTrees/dangling_link_deep_in_the_tree	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnFailClosedTrees/escaping_link	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnFailClosedTrees/link_cycle	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRealToolchain	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/deeply_nested_chain	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/empty_directories	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/empty_root	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/flat_files	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/large_file_crossing_the_copy_buffer	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/link_escaping_its_directory_but_not_the_root	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/link_to_a_directory_is_recorded,_not_descended	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/link_to_a_link	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/nested_toolchain_shape	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/relative_links_inside_the_same_directory	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/siblings_sorting_around_the_separator	
pass	internal/godriver	TestFingerprintTraversalMatchesLegacyOnRepresentativeTrees/unicode_and_space_names	
pass	internal/godriver	TestFixedBuildArgvGuardAcceptsOnlyTheProtocolVector	
pass	internal/godriver	TestFixedBuildArgvGuardAcceptsOnlyTheProtocolVector/extra_flag	
pass	internal/godriver	TestFixedBuildArgvGuardAcceptsOnlyTheProtocolVector/other_command	
pass	internal/godriver	TestFixedBuildArgvGuardAcceptsOnlyTheProtocolVector/output_outside_private_staging	
